"tsid (S)","code (S)","date (S)","id (S)","stationId (N)","ts (S)","unit (S)","value (N)"
"125e7d504d79884fabbc867f562020-03-27T01:48:45.265691","PM10","2020-03-27T01:00:00.000Z","5e7d504d79884fabbc867f56","12","2020-03-27T01:48:45.265691","mg/m3","0.02036837049566134"
"125e7fe53579884fabbc07342a2020-03-29T00:48:45.566010","PM2.5","2020-03-29T00:00:00.000Z","5e7fe53579884fabbc07342a","12","2020-03-29T00:48:45.566010","mg/m3","0.034320016334687044"
"125e81fb7579884fabbc3d93132020-03-30T14:48:45.925453","PM2.5","2020-03-30T14:00:00.000Z","5e81fb7579884fabbc3d9313","12","2020-03-30T14:48:45.925453","mg/m3","0.10061452694549645"
"125e84ac9a79884fabbce00a0b2020-04-01T15:48:45.523437","PM2.5","2020-04-01T15:00:00.000Z","5e84ac9a79884fabbce00a0b","12","2020-04-01T15:48:45.523437","mg/m3","0.1313901933181504"
"125e8c33222939024a49692ea42020-04-07T08:48:45.758892","PM10","2020-04-07T08:00:00.000Z","5e8c33222939024a49692ea4","12","2020-04-07T08:48:45.758892","mg/m3","0.04452931343047465"
"125e90c23adf7821c9f638a4e22020-04-10T19:48:45.439706","PM10","2020-04-10T19:00:00.000Z","5e90c23adf7821c9f638a4e2","12","2020-04-10T19:48:45.439706","mg/m3","0.07520368325856393"
"125e90de5adf7821c9f64513602020-04-10T21:48:45.101466","PM2.5","2020-04-10T21:00:00.000Z","5e90de5adf7821c9f6451360","12","2020-04-10T21:48:45.101466","mg/m3","0.2035220284283914"
"125e92d8c3df7821c9f6202d582020-04-12T09:48:45.303571","PM10","2020-04-12T09:00:00.000Z","5e92d8c3df7821c9f6202d58","12","2020-04-12T09:48:45.303571","mg/m3","0.024521157582861025"
"125e938f76df7821c9f66ee1be2020-04-12T22:48:45.809995","PM10","2020-04-12T22:00:00.000Z","5e938f76df7821c9f66ee1be","12","2020-04-12T22:48:45.809995","mg/m3","0.028123080937083194"
"145e7d886e79884fabbca893772020-03-27T05:48:47.637608","PM2.5","2020-03-27T05:00:00.000Z","5e7d886e79884fabbca89377","14","2020-03-27T05:48:47.637608","mg/m3","0.0024216666666666666"
"145e7fd72c79884fabbcff195f2020-03-28T23:48:45.758823","PM10","2020-03-28T23:00:00.000Z","5e7fd72c79884fabbcff195f","14","2020-03-28T23:48:45.758823","mg/m3","0.0027156666666666666"
"145e80f05679884fabbc9f90ad2020-03-29T19:48:45.113425","PM2.5","2020-03-29T19:00:00.000Z","5e80f05679884fabbc9f90ad","14","2020-03-29T19:48:45.113425","mg/m3","0.004810333333333333"
"145e8ab75879884fabbc7db9c82020-04-06T05:48:45.674928","PM2.5","2020-04-06T05:00:00.000Z","5e8ab75879884fabbc7db9c8","14","2020-04-06T05:48:45.674928","mg/m3","0.0016346666666666669"
"145e8b19de79884fabbcb867472020-04-06T12:48:45.570920","PM2.5","2020-04-06T12:00:00.000Z","5e8b19de79884fabbcb86747","14","2020-04-06T12:48:45.570920","mg/m3","0.002539666666666667"
"145e902793df7821c9f6f3a7592020-04-10T08:48:45.196069","PM2.5","2020-04-10T08:00:00.000Z","5e902793df7821c9f6f3a759","14","2020-04-10T08:48:45.196069","mg/m3","0.0036209999999999997"
"145e9116cddf7821c9f65d6eab2020-04-11T01:48:45.361391","PM2.5","2020-04-11T01:00:00.000Z","5e9116cddf7821c9f65d6eab","14","2020-04-11T01:48:45.361391","mg/m3","0.004954666666666666"
"145e9205a9df7821c9f6c55f9a2020-04-11T18:48:45.608544","PM2.5","2020-04-11T18:00:00.000Z","5e9205a9df7821c9f6c55f9a","14","2020-04-11T18:48:45.608544","mg/m3","0.008412333333333334"
"145e925a03df7821c9f6e9ad0e2020-04-12T00:48:45.634094","PM2.5","2020-04-12T00:00:00.000Z","5e925a03df7821c9f6e9ad0e","14","2020-04-12T00:48:45.634094","mg/m3","0.0040539999999999994"
"265e7bb85879884fabbc913cf42020-03-25T20:48:45.353414","PM10","2020-03-25T20:00:00.000Z","5e7bb85879884fabbc913cf4","26","2020-03-25T20:48:45.353414","mg/m3","0.058427"
"265e7c44e379884fabbce3d9a12020-03-26T06:48:45.090821","PM2.5","2020-03-26T06:00:00.000Z","5e7c44e379884fabbce3d9a1","26","2020-03-26T06:48:45.090821","mg/m3","0.02413966666666667"
"265e84583579884fabbca62c562020-04-01T09:48:45.524034","PM2.5","2020-04-01T09:00:00.000Z","5e84583579884fabbca62c56","26","2020-04-01T09:48:45.524034","mg/m3","0.014857"
"265e84905779884fabbccd8e822020-04-01T13:48:46.679949","PM2.5","2020-04-01T13:00:00.000Z","5e84905779884fabbccd8e82","26","2020-04-01T13:48:46.679949","mg/m3","0.034152666666666665"
"265e8779bb79884fabbc9121a82020-04-03T18:48:45.589831","PM2.5","2020-04-03T18:00:00.000Z","5e8779bb79884fabbc9121a8","26","2020-04-03T18:48:45.589831","mg/m3","0.11612633333333333"
"265e87c00e79884fabbcb96ab52020-04-03T23:48:45.427538","PM2.5","2020-04-03T23:00:00.000Z","5e87c00e79884fabbcb96ab5","26","2020-04-03T23:48:45.427538","mg/m3","0.020034666666666666"
"265e87f86d79884fabbcdb4da62020-04-04T03:48:45.391734","PM2.5","2020-04-04T03:00:00.000Z","5e87f86d79884fabbcdb4da6","26","2020-04-04T03:48:45.391734","mg/m3","0.016771333333333333"
"265e88f55d79884fabbc7445ba2020-04-04T21:48:45.232137","PM2.5","2020-04-04T21:00:00.000Z","5e88f55d79884fabbc7445ba","26","2020-04-04T21:48:45.232137","mg/m3","0.16684166666666667"
"265e8a9b4879884fabbc6c5cfd2020-04-06T03:48:45.111287","PM2.5","2020-04-06T03:00:00.000Z","5e8a9b4879884fabbc6c5cfd","26","2020-04-06T03:48:45.111287","mg/m3","0.006631000000000001"
"265e8e73c9df7821c9f6393dd32020-04-09T01:48:46.900275","PM10","2020-04-09T01:00:00.000Z","5e8e73c9df7821c9f6393dd3","26","2020-04-09T01:48:46.900275","mg/m3","0.010261333333333332"
"265e8fb70adf7821c9f6c176052020-04-10T00:48:45.522123","PM10","2020-04-10T00:00:00.000Z","5e8fb70adf7821c9f6c17605","26","2020-04-10T00:48:45.522123","mg/m3","0.009758333333333334"
"265e93ffebdf7821c9f69f4c812020-04-13T06:48:45.308688","PM2.5","2020-04-13T06:00:00.000Z","5e93ffebdf7821c9f69f4c81","26","2020-04-13T06:48:45.308688","mg/m3","0.018221333333333332"
"275e7e152379884fabbcfb06fb2020-03-27T15:48:45.491549","PM10","2020-03-27T15:00:00.000Z","5e7e152379884fabbcfb06fb","27","2020-03-27T15:48:45.491549","mg/m3","0.045819"
"275e8306b379884fabbcd813172020-03-31T09:48:46.754407","PM10","2020-03-31T09:00:00.000Z","5e8306b379884fabbcd81317","27","2020-03-31T09:48:46.754407","mg/m3","0.04717466666666666"
"275e844a0e79884fabbc9c807a2020-04-01T08:49:00.850607","PM2.5","2020-04-01T08:00:00.000Z","5e844a0e79884fabbc9c807a","27","2020-04-01T08:49:00.850607","mg/m3","0.023668666666666668"
"275e857f6b79884fabbc5cf4352020-04-02T06:48:45.715005","PM10","2020-04-02T06:00:00.000Z","5e857f6b79884fabbc5cf435","27","2020-04-02T06:48:45.715005","mg/m3","0.006570333333333333"
"275e867ca679884fabbcf5932f2020-04-03T00:48:45.841885","PM2.5","2020-04-03T00:00:00.000Z","5e867ca679884fabbcf5932f","27","2020-04-03T00:48:45.841885","mg/m3","0.012330333333333334"
"275e892db679884fabbc9340982020-04-05T01:48:45.158247","PM2.5","2020-04-05T01:00:00.000Z","5e892db679884fabbc934098","27","2020-04-05T01:48:45.158247","mg/m3","0.004103"
"275e8ab75879884fabbc7dba512020-04-06T05:48:45.674928","PM10","2020-04-06T05:00:00.000Z","5e8ab75879884fabbc7dba51","27","2020-04-06T05:48:45.674928","mg/m3","0.007942"
"275e8bdeae79884fabbc2d28262020-04-07T02:48:45.143571","PM10","2020-04-07T02:00:00.000Z","5e8bdeae79884fabbc2d2826","27","2020-04-07T02:48:45.143571","mg/m3","0.006064"
"275e909831df7821c9f62696852020-04-10T16:48:45.841371","PM10","2020-04-10T16:00:00.000Z","5e909831df7821c9f6269685","27","2020-04-10T16:48:45.841371","mg/m3","0.034500333333333334"
"275e93f1f2df7821c9f69942c82020-04-13T05:48:45.541517","PM2.5","2020-04-13T05:00:00.000Z","5e93f1f2df7821c9f69942c8","27","2020-04-13T05:48:45.541517","mg/m3","0.008422666666666667"
"285e7f2e5479884fabbc9e82452020-03-28T11:48:45.278305","PM2.5","2020-03-28T11:00:00.000Z","5e7f2e5479884fabbc9e8245","28","2020-03-28T11:48:45.278305","mg/m3","0.04360566666666666"
"285e8063a279884fabbc4fc2f12020-03-29T09:48:46.333298","PM10","2020-03-29T09:00:00.000Z","5e8063a279884fabbc4fc2f1","28","2020-03-29T09:48:46.333298","mg/m3","0.025754333333333334"
"285e8063a279884fabbc4fc2f32020-03-29T09:48:46.333298","PM2.5","2020-03-29T09:00:00.000Z","5e8063a279884fabbc4fc2f3","28","2020-03-29T09:48:46.333298","mg/m3","0.017567666666666665"
"285e8233d379884fabbc5e6f962020-03-30T18:48:45.658751","PM10","2020-03-30T18:00:00.000Z","5e8233d379884fabbc5e6f96","28","2020-03-30T18:48:45.658751","mg/m3","0.200192"
"285e84baa479884fabbce8b7e32020-04-01T16:48:45.496778","PM2.5","2020-04-01T16:00:00.000Z","5e84baa479884fabbce8b7e3","28","2020-04-01T16:48:45.496778","mg/m3","0.017704666666666664"
"285e857f6b79884fabbc5cf4442020-04-02T06:48:45.715005","PM2.5","2020-04-02T06:00:00.000Z","5e857f6b79884fabbc5cf444","28","2020-04-02T06:48:45.715005","mg/m3","0.04545633333333333"
"285e8795ef79884fabbca057422020-04-03T20:48:45.570403","PM2.5","2020-04-03T20:00:00.000Z","5e8795ef79884fabbca05742","28","2020-04-03T20:48:45.570403","mg/m3","0.090263"
"285e8a712e79884fabbc531a882020-04-06T00:48:45.362552","PM2.5","2020-04-06T00:00:00.000Z","5e8a712e79884fabbc531a88","28","2020-04-06T00:48:45.362552","mg/m3","0.015790333333333333"
"285e8b442d79884fabbcd1c9862020-04-06T15:48:45.514264","PM2.5","2020-04-06T15:00:00.000Z","5e8b442d79884fabbcd1c986","28","2020-04-06T15:48:45.514264","mg/m3","0.12083233333333332"
"285e8c6599df7821c9f69da0542020-04-07T11:48:45.979562","PM2.5","2020-04-07T11:00:00.000Z","5e8c6599df7821c9f69da054","28","2020-04-07T11:48:45.979562","mg/m3","0.016657666666666668"
"285e8c8797df7821c9f6a616392020-04-07T14:48:45.883118","PM10","2020-04-07T14:00:00.000Z","5e8c8797df7821c9f6a61639","28","2020-04-07T14:48:45.883118","mg/m3","0.08186899999999998"
"285e8e1f61df7821c9f614f9d52020-04-08T19:48:45.761809","PM2.5","2020-04-08T19:00:00.000Z","5e8e1f61df7821c9f614f9d5","28","2020-04-08T19:48:45.761809","mg/m3","0.021300333333333338"
"285e90b44adf7821c9f632a8782020-04-10T18:48:45.395571","PM2.5","2020-04-10T18:00:00.000Z","5e90b44adf7821c9f632a878","28","2020-04-10T18:48:45.395571","mg/m3","0.07954066666666666"
"285e91792edf7821c9f689a3762020-04-11T08:48:45.291271","PM10","2020-04-11T08:00:00.000Z","5e91792edf7821c9f689a376","28","2020-04-11T08:48:45.291271","mg/m3","0.06692366666666667"
"45e7fe53479884fabbc0733a12020-03-29T00:48:45.566010","PM2.5","2020-03-29T00:00:00.000Z","5e7fe53479884fabbc0733a1","4","2020-03-29T00:48:45.566010","mg/m3","0.02915238213074074"
"45e89e48f79884fabbcffa8292020-04-05T14:48:45.339741","PM10","2020-04-05T14:00:00.000Z","5e89e48f79884fabbcffa829","4","2020-04-05T14:48:45.339741","mg/m3","0.028122747695861344"
"45e8b8a5979884fabbcfb67392020-04-06T20:48:45.575373","PM10","2020-04-06T20:00:00.000Z","5e8b8a5979884fabbcfb6739","4","2020-04-06T20:48:45.575373","mg/m3","0.02624386799069865"
"45e8d4c73df7821c9f6d210452020-04-08T04:48:45.357035","PM2.5","2020-04-08T04:00:00.000Z","5e8d4c73df7821c9f6d21045","4","2020-04-08T04:48:45.357035","mg/m3","0.02303075813055321"
"45e8de71adf7821c9f6f793282020-04-08T15:48:45.535681","PM10","2020-04-08T15:00:00.000Z","5e8de71adf7821c9f6f79328","4","2020-04-08T15:48:45.535681","mg/m3","0.03338021680545956"
"45e8f0e51df7821c9f67780b32020-04-09T12:48:45.216561","PM10","2020-04-09T12:00:00.000Z","5e8f0e51df7821c9f67780b3","4","2020-04-09T12:48:45.216561","mg/m3","0.05438393405939528"
"595e7cd18379884fabbc3aac6a2020-03-26T16:48:45.284310","PM2.5","2020-03-26T16:00:00.000Z","5e7cd18379884fabbc3aac6a","59","2020-03-26T16:48:45.284310","mg/m3","0.07521699999999999"
"595e81a70d79884fabbc0aaf532020-03-30T08:48:46.206747","PM10","2020-03-30T08:00:00.000Z","5e81a70d79884fabbc0aaf53","59","2020-03-30T08:48:46.206747","mg/m3","0.030382000000000003"
"595e82962579884fabbc96022f2020-03-31T01:48:45.559370","PM2.5","2020-03-31T01:00:00.000Z","5e82962579884fabbc96022f","59","2020-03-31T01:48:45.559370","mg/m3","0.03380766666666666"
"595e83bd9d79884fabbc44dfc72020-03-31T22:48:45.086346","PM2.5","2020-03-31T22:00:00.000Z","5e83bd9d79884fabbc44dfc7","59","2020-03-31T22:48:45.086346","mg/m3","0.05576033333333333"
"595e89e49079884fabbcffab522020-04-05T14:48:45.339741","PM2.5","2020-04-05T14:00:00.000Z","5e89e49079884fabbcffab52","59","2020-04-05T14:48:45.339741","mg/m3","0.016051"
"595e8b523379884fabbcd9f8462020-04-06T16:48:45.589277","PM10","2020-04-06T16:00:00.000Z","5e8b523379884fabbcd9f846","59","2020-04-06T16:48:45.589277","mg/m3","0.05196233333333333"
"595e8b603779884fabbce29a182020-04-06T17:48:45.458421","PM10","2020-04-06T17:00:00.000Z","5e8b603779884fabbce29a18","59","2020-04-06T17:48:45.458421","mg/m3","0.06044633333333333"
"595e8d3029df7821c9f6cb7ab42020-04-08T02:48:45.599280","PM10","2020-04-08T02:00:00.000Z","5e8d3029df7821c9f6cb7ab4","59","2020-04-08T02:48:45.599280","mg/m3","0.006551333333333333"
"75e7e777c79884fabbc34f07a2020-03-27T22:48:45.290350","PM10","2020-03-27T22:00:00.000Z","5e7e777c79884fabbc34f07a","7","2020-03-27T22:48:45.290350","mg/m3","0.06406933333333333"
"75e7f3c5879884fabbca6be4b2020-03-28T12:48:45.179314","PM10","2020-03-28T12:00:00.000Z","5e7f3c5879884fabbca6be4b","7","2020-03-28T12:48:45.179314","mg/m3","0.019469333333333335"
"75e80479779884fabbc3fb7b32020-03-29T07:48:45.126790","PM10","2020-03-29T07:00:00.000Z","5e80479779884fabbc3fb7b3","7","2020-03-29T07:48:45.126790","mg/m3","0.014324333333333335"
"75e851d1c79884fabbc21f9022020-04-01T23:48:45.405131","PM10","2020-04-01T23:00:00.000Z","5e851d1c79884fabbc21f902","7","2020-04-01T23:48:45.405131","mg/m3","0.03598966666666667"
"75e93ab8edf7821c9f67af81f2020-04-13T00:48:45.496041","PM10","2020-04-13T00:00:00.000Z","5e93ab8edf7821c9f67af81f","7","2020-04-13T00:48:45.496041","mg/m3","0.03526733333333333"
"85e801d4979884fabbc27300e2020-03-29T04:48:45.771480","PM10","2020-03-29T04:00:00.000Z","5e801d4979884fabbc27300e","8","2020-03-29T04:48:45.771480","mg/m3","0.010652666666666666"
"85e80559c79884fabbc47e4962020-03-29T08:48:45.419885","PM2.5","2020-03-29T08:00:00.000Z","5e80559c79884fabbc47e496","8","2020-03-29T08:48:45.419885","mg/m3","0.006735666666666667"
"85e81a70c79884fabbc0aac7f2020-03-30T08:48:46.206747","PM2.5","2020-03-30T08:00:00.000Z","5e81a70c79884fabbc0aac7f","8","2020-03-30T08:48:46.206747","mg/m3","0.00494"
"85e83af5679884fabbc3ccf9c2020-03-31T21:48:45.346552","PM2.5","2020-03-31T21:00:00.000Z","5e83af5679884fabbc3ccf9c","8","2020-03-31T21:48:45.346552","mg/m3","0.007151"
"85e83cba279884fabbc4d10c72020-03-31T23:48:45.104604","PM10","2020-03-31T23:00:00.000Z","5e83cba279884fabbc4d10c7","8","2020-03-31T23:48:45.104604","mg/m3","0.009922333333333333"
"85e84663f79884fabbcb02dba2020-04-01T10:48:47.852055","PM10","2020-04-01T10:00:00.000Z","5e84663f79884fabbcb02dba","8","2020-04-01T10:48:47.852055","mg/m3","0.016264666666666667"
"85e858d9779884fabbc659cb12020-04-02T07:48:46.759093","PM10","2020-04-02T07:00:00.000Z","5e858d9779884fabbc659cb1","8","2020-04-02T07:48:46.759093","mg/m3","0.008864666666666668"
"85e86df2679884fabbc31d1e12020-04-03T07:48:45.889415","PM10","2020-04-03T07:00:00.000Z","5e86df2679884fabbc31d1e1","8","2020-04-03T07:48:45.889415","mg/m3","0.03334533333333334"
"85e883e8e79884fabbc05c00a2020-04-04T08:48:45.457532","PM10","2020-04-04T08:00:00.000Z","5e883e8e79884fabbc05c00a","8","2020-04-04T08:48:45.457532","mg/m3","0.018648"
"85e8aa94d79884fabbc74fe982020-04-06T04:48:45.630582","PM2.5","2020-04-06T04:00:00.000Z","5e8aa94d79884fabbc74fe98","8","2020-04-06T04:48:45.630582","mg/m3","0.007936333333333335"
"85e8c414c2939024a496d71222020-04-07T09:48:45.788304","PM2.5","2020-04-07T09:00:00.000Z","5e8c414c2939024a496d7122","8","2020-04-07T09:48:45.788304","mg/m3","0.005364333333333333"
"85e8c6599df7821c9f69d9f6c2020-04-07T11:48:45.979562","PM10","2020-04-07T11:00:00.000Z","5e8c6599df7821c9f69d9f6c","8","2020-04-07T11:48:45.979562","mg/m3","0.010496666666666666"
"85e8c8797df7821c9f6a615492020-04-07T14:48:45.883118","PM2.5","2020-04-07T14:00:00.000Z","5e8c8797df7821c9f6a61549","8","2020-04-07T14:48:45.883118","mg/m3","0.007074333333333333"
"85e8d223adf7821c9f6c85b9a2020-04-08T01:48:45.564977","PM10","2020-04-08T01:00:00.000Z","5e8d223adf7821c9f6c85b9a","8","2020-04-08T01:48:45.564977","mg/m3","0.0022689999999999997"
"85e8d929ddf7821c9f6e32f212020-04-08T09:48:45.274890","PM10","2020-04-08T09:00:00.000Z","5e8d929ddf7821c9f6e32f21","8","2020-04-08T09:48:45.274890","mg/m3","0.01816766666666667"
"975e7c36dd79884fabbcdbb7a72020-03-26T05:48:45.102771","PM2.5","2020-03-26T05:00:00.000Z","5e7c36dd79884fabbcdbb7a7","97","2020-03-26T05:48:45.102771","mg/m3","0.030422333333333332"
"975e7d25fc79884fabbc6d61d62020-03-26T22:48:45.355801","PM2.5","2020-03-26T22:00:00.000Z","5e7d25fc79884fabbc6d61d6","97","2020-03-26T22:48:45.355801","mg/m3","0.11620666666666667"
"975e7d5e3479884fabbc8ef9a12020-03-27T02:48:45.448851","PM2.5","2020-03-27T02:00:00.000Z","5e7d5e3479884fabbc8ef9a1","97","2020-03-27T02:48:45.448851","mg/m3","0.07983033333333334"
"975e7f043f79884fabbc8644ea2020-03-28T08:48:45.044581","PM2.5","2020-03-28T08:00:00.000Z","5e7f043f79884fabbc8644ea","97","2020-03-28T08:48:45.044581","mg/m3","0.030522666666666667"
"975e810c6279884fabbcaf282c2020-03-29T21:48:45.368938","PM2.5","2020-03-29T21:00:00.000Z","5e810c6279884fabbcaf282c","97","2020-03-29T21:48:45.368938","mg/m3","0.10234366666666667"
"975e8330cb79884fabbcf277842020-03-31T12:48:46.268043","PM2.5","2020-03-31T12:00:00.000Z","5e8330cb79884fabbcf27784","97","2020-03-31T12:48:46.268043","mg/m3","0.017029666666666665"
"975e843c2779884fabbc92486a2020-04-01T07:48:45.298109","PM10","2020-04-01T07:00:00.000Z","5e843c2779884fabbc92486a","97","2020-04-01T07:48:45.298109","mg/m3","0.077723"
"975e87ce1479884fabbcc1b9152020-04-04T00:48:45.437135","PM10","2020-04-04T00:00:00.000Z","5e87ce1479884fabbcc1b915","97","2020-04-04T00:48:45.437135","mg/m3","0.023384333333333337"
"975e8c8797df7821c9f6a617ed2020-04-07T14:48:45.883118","PM10","2020-04-07T14:00:00.000Z","5e8c8797df7821c9f6a617ed","97","2020-04-07T14:48:45.883118","mg/m3","0.059314"
"975e8ccdd7df7821c9f6b61f102020-04-07T19:48:45.589720","PM2.5","2020-04-07T19:00:00.000Z","5e8ccdd7df7821c9f6b61f10","97","2020-04-07T19:48:45.589720","mg/m3","0.012562000000000002"
"975e8f0e51df7821c9f67783d02020-04-09T12:48:45.216561","PM10","2020-04-09T12:00:00.000Z","5e8f0e51df7821c9f67783d0","97","2020-04-09T12:48:45.216561","mg/m3","0.007203"
"975e9302c3df7821c9f63239df2020-04-12T12:48:45.558711","PM10","2020-04-12T12:00:00.000Z","5e9302c3df7821c9f63239df","97","2020-04-12T12:48:45.558711","mg/m3","0.0850715"
