"tsid (S)","aqi (N)","pm25 (N)","time (S)","ts (S)"
"2018-06-12T00:00:00Z_Astana","0","71","2018-06-12","2018-06-12T00:00:00Z"
"2018-08-03T00:00:00Z_Astana","0","93","2018-08-03","2018-08-03T00:00:00Z"
"2018-08-04T00:00:00Z_Astana","0","98","2018-08-04","2018-08-04T00:00:00Z"
"2018-08-05T00:00:00Z_Astana","0","80","2018-08-05","2018-08-05T00:00:00Z"
"2018-08-09T00:00:00Z_Astana","0","67","2018-08-09","2018-08-09T00:00:00Z"
"2018-08-12T00:00:00Z_Astana","0","59","2018-08-12","2018-08-12T00:00:00Z"
"2018-09-10T00:00:00Z_Astana","0","71","2018-09-10","2018-09-10T00:00:00Z"
"2018-09-24T00:00:00Z_Astana","0","69","2018-09-24","2018-09-24T00:00:00Z"
"2018-10-06T00:00:00Z_Astana","0","77","2018-10-06","2018-10-06T00:00:00Z"
"2018-10-14T00:00:00Z_Astana","0","57","2018-10-14","2018-10-14T00:00:00Z"
"2018-10-17T00:00:00Z_Astana","0","66","2018-10-17","2018-10-17T00:00:00Z"
"2018-10-28T00:00:00Z_Astana","0","61","2018-10-28","2018-10-28T00:00:00Z"
"2018-11-09T00:00:00Z_Astana","0","98","2018-11-09","2018-11-09T00:00:00Z"
"2018-11-13T00:00:00Z_Astana","0","64","2018-11-13","2018-11-13T00:00:00Z"
"2018-11-18T00:00:00Z_Astana","0","100","2018-11-18","2018-11-18T00:00:00Z"
"2018-11-20T00:00:00Z_Astana","0","71","2018-11-20","2018-11-20T00:00:00Z"
"2018-12-13T00:00:00Z_Astana","0","113","2018-12-13","2018-12-13T00:00:00Z"
"2018-12-16T00:00:00Z_Astana","0","82","2018-12-16","2018-12-16T00:00:00Z"
"2018-12-18T00:00:00Z_Astana","0","110","2018-12-18","2018-12-18T00:00:00Z"
"2018-12-20T00:00:00Z_Astana","0","167","2018-12-20","2018-12-20T00:00:00Z"
"2018-12-26T00:00:00Z_Astana","0","240","2018-12-26","2018-12-26T00:00:00Z"
"2019-01-03T00:00:00Z_Astana","0","230","2019-01-03","2019-01-03T00:00:00Z"
"2019-01-05T00:00:00Z_Astana","0","164","2019-01-05","2019-01-05T00:00:00Z"
"2019-01-08T00:00:00Z_Astana","0","125","2019-01-08","2019-01-08T00:00:00Z"
"2019-01-11T00:00:00Z_Astana","0","184","2019-01-11","2019-01-11T00:00:00Z"
"2019-01-16T00:00:00Z_Astana","0","188","2019-01-16","2019-01-16T00:00:00Z"
"2019-01-26T00:00:00Z_Astana","0","77","2019-01-26","2019-01-26T00:00:00Z"
"2019-02-08T00:00:00Z_Astana","0","182","2019-02-08","2019-02-08T00:00:00Z"
"2019-02-17T00:00:00Z_Astana","0","75","2019-02-17","2019-02-17T00:00:00Z"
"2019-02-20T00:00:00Z_Astana","0","67","2019-02-20","2019-02-20T00:00:00Z"
"2019-02-23T00:00:00Z_Astana","0","71","2019-02-23","2019-02-23T00:00:00Z"
"2019-02-28T00:00:00Z_Astana","0","165","2019-02-28","2019-02-28T00:00:00Z"
"2019-03-07T00:00:00Z_Astana","0","68","2019-03-07","2019-03-07T00:00:00Z"
"2019-04-01T00:00:00Z_Astana","0","171","2019-04-01","2019-04-01T00:00:00Z"
"2019-04-18T00:00:00Z_Astana","0","77","2019-04-18","2019-04-18T00:00:00Z"
"2019-04-27T00:00:00Z_Astana","0","30","2019-04-27","2019-04-27T00:00:00Z"
"2019-05-15T00:00:00Z_Astana","0","33","2019-05-15","2019-05-15T00:00:00Z"
"2019-05-17T00:00:00Z_Astana","0","39","2019-05-17","2019-05-17T00:00:00Z"
"2019-05-23T00:00:00Z_Astana","0","35","2019-05-23","2019-05-23T00:00:00Z"
"2019-05-26T00:00:00Z_Astana","0","35","2019-05-26","2019-05-26T00:00:00Z"
"2019-05-29T00:00:00Z_Astana","0","68","2019-05-29","2019-05-29T00:00:00Z"
"2019-06-17T00:00:00Z_Astana","0","16","2019-06-17","2019-06-17T00:00:00Z"
"2019-07-10T00:00:00Z_Astana","0","33","2019-07-10","2019-07-10T00:00:00Z"
"2019-07-12T00:00:00Z_Astana","0","33","2019-07-12","2019-07-12T00:00:00Z"
"2019-07-15T00:00:00Z_Astana","0","38","2019-07-15","2019-07-15T00:00:00Z"
"2019-07-18T00:00:00Z_Astana","0","25","2019-07-18","2019-07-18T00:00:00Z"
"2019-08-02T00:00:00Z_Astana","0","32","2019-08-02","2019-08-02T00:00:00Z"
"2019-08-13T00:00:00Z_Astana","0","26","2019-08-13","2019-08-13T00:00:00Z"
"2019-08-18T00:00:00Z_Astana","0","51","2019-08-18","2019-08-18T00:00:00Z"
"2019-08-22T00:00:00Z_Astana","0","29","2019-08-22","2019-08-22T00:00:00Z"
"2019-08-26T00:00:00Z_Astana","0","36","2019-08-26","2019-08-26T00:00:00Z"
"2019-09-14T00:00:00Z_Astana","0","65","2019-09-14","2019-09-14T00:00:00Z"
"2019-09-27T00:00:00Z_Astana","0","58","2019-09-27","2019-09-27T00:00:00Z"
"2019-10-03T00:00:00Z_Astana","0","99","2019-10-03","2019-10-03T00:00:00Z"
"2019-10-12T00:00:00Z_Astana","0","95","2019-10-12","2019-10-12T00:00:00Z"
"2019-11-09T00:00:00Z_Astana","0","87","2019-11-09","2019-11-09T00:00:00Z"
"2019-12-19T00:00:00Z_Astana","0","32","2019-12-19","2019-12-19T00:00:00Z"
"2020-01-08T00:00:00Z_Astana","0","113","2020-01-08","2020-01-08T00:00:00Z"
"2020-01-26T00:00:00Z_Astana","0","16","2020-01-26","2020-01-26T00:00:00Z"
"2020-02-01T00:00:00Z_Astana","0","101","2020-02-01","2020-02-01T00:00:00Z"
"2020-02-02T00:00:00Z_Astana","0","79","2020-02-02","2020-02-02T00:00:00Z"
"2020-02-19T00:00:00Z_Astana","0","28","2020-02-19","2020-02-19T00:00:00Z"
"2020-02-20T00:00:00Z_Almaty","0","152","2020-02-20","2020-02-20T00:00:00Z"
"2020-02-21T00:00:00Z_Astana","0","103","2020-02-21","2020-02-21T00:00:00Z"
"2020-02-25T00:00:00Z_Astana","0","62","2020-02-25","2020-02-25T00:00:00Z"
"2020-02-29T00:00:00Z_Astana","0","57","2020-02-29","2020-02-29T00:00:00Z"
"2020-03-02T00:00:00Z_Almaty","0","106","2020-03-02","2020-03-02T00:00:00Z"
"2020-03-11T00:00:00Z_Almaty","0","63","2020-03-11","2020-03-11T00:00:00Z"
"2020-04-02T00:00:00Z_Almaty","0","27","2020-04-02","2020-04-02T00:00:00Z"
"2020-04-05T23:48:43.851826_Almaty","50","50","2020-04-06 05:00:00","2020-04-05T23:48:43.851826"
"2020-04-06T10:48:44.292462_Astana","34","34","2020-04-06 15:00:00","2020-04-06T10:48:44.292462"
"2020-04-06T15:48:44.029658_Almaty","91","91","2020-04-06 21:00:00","2020-04-06T15:48:44.029658"
"2020-04-07T14:48:44.314930_Astana","21","21","2020-04-07 19:00:00","2020-04-07T14:48:44.314930"
"2020-04-07T22:48:44.525179_Almaty","46","46","2020-04-08 03:00:00","2020-04-07T22:48:44.525179"
"2020-04-08T02:48:44.307411_Astana","21","21","2020-04-08 07:00:00","2020-04-08T02:48:44.307411"
"2020-04-08T06:48:44.180996_Astana","9","9","2020-04-08 11:00:00","2020-04-08T06:48:44.180996"
"2020-04-08T17:48:43.896471_Astana","21","21","2020-04-08 22:00:00","2020-04-08T17:48:43.896471"
"2020-04-09T01:48:45.633836_Almaty","42","42","2020-04-09 07:00:00","2020-04-09T01:48:45.633836"
"2020-04-09T02:48:44.053482_Astana","17","17","2020-04-09 07:00:00","2020-04-09T02:48:44.053482"
"2020-04-09T07:48:44.270182_Astana","17","17","2020-04-09 12:00:00","2020-04-09T07:48:44.270182"
"2020-04-09T12:48:43.905282_Astana","13","13","2020-04-09 17:00:00","2020-04-09T12:48:43.905282"
"2020-04-10T01:48:44.167494_Astana","30","30","2020-04-10 06:00:00","2020-04-10T01:48:44.167494"
"2020-04-10T04:48:44.014806_Astana","55","55","2020-04-10 09:00:00","2020-04-10T04:48:44.014806"
"2020-04-10T08:48:43.835874_Astana","21","21","2020-04-10 13:00:00","2020-04-10T08:48:43.835874"
"2020-04-10T13:48:44.157044_Almaty","68","68","2020-04-10 19:00:00","2020-04-10T13:48:44.157044"
"2020-04-10T14:48:44.196408_Almaty","70","70","2020-04-10 20:00:00","2020-04-10T14:48:44.196408"
"2020-04-10T17:48:43.970702_Almaty","82","82","2020-04-10 23:00:00","2020-04-10T17:48:43.970702"
"2020-04-10T18:48:44.041706_Astana","82","82","2020-04-10 23:00:00","2020-04-10T18:48:44.041706"
"2020-04-10T20:48:43.835600_Almaty","50","50","2020-04-11 02:00:00","2020-04-10T20:48:43.835600"
"2020-04-11T00:48:44.142108_Astana","61","61","2020-04-11 05:00:00","2020-04-11T00:48:44.142108"
"2020-04-11T10:48:44.210434_Almaty","109","109","2020-04-11 16:00:00","2020-04-11T10:48:44.210434"
"2020-04-11T10:48:44.210434_Astana","46","46","2020-04-11 15:00:00","2020-04-11T10:48:44.210434"
"2020-04-11T18:48:44.215020_Astana","74","74","2020-04-11 23:00:00","2020-04-11T18:48:44.215020"
"2020-04-12T03:48:44.146287_Almaty","38","38","2020-04-12 09:00:00","2020-04-12T03:48:44.146287"
"2020-04-12T08:48:43.810926_Astana","25","25","2020-04-12 13:00:00","2020-04-12T08:48:43.810926"
"2020-04-12T09:48:44.057785_Almaty","55","55","2020-04-12 15:00:00","2020-04-12T09:48:44.057785"
"2020-04-12T11:48:44.148412_Astana","21","21","2020-04-12 16:00:00","2020-04-12T11:48:44.148412"
"2020-04-12T17:48:43.996715_Astana","53","53","2020-04-12 22:00:00","2020-04-12T17:48:43.996715"
"2020-04-12T22:48:44.403982_Astana","38","38","2020-04-13 03:00:00","2020-04-12T22:48:44.403982"
"2020-04-13T02:48:44.356464_Almaty","57","57","2020-04-13 08:00:00","2020-04-13T02:48:44.356464"
